,5YR Real Yield,10YR Real Yield
8/1/1993,1.8898,2.5338
9/1/1993,1.3294,2.3569
10/1/1993,1.8035,2.7014
11/1/1993,2.0012,2.7726
12/1/1993,1.5415,2.056
1/1/1994,1.431,1.999
2/1/1994,1.5035,2.2051
3/1/1994,2.0209,3.26
4/1/1994,2.3518,3.4846
5/1/1994,2.1783,3.1837
6/1/1994,2.471,3.5637
7/1/1994,2.354,3.4966
8/1/1994,2.3807,3.6596
9/1/1994,2.4663,3.7197
10/1/1994,2.3309,3.6622
11/1/1994,2.4324,3.7615
12/1/1994,2.4804,3.7495
1/1/1995,2.4734,3.7914
2/1/1995,2.5937,3.8162
3/1/1995,2.5021,3.4611
4/1/1995,1.9368,3.1073
5/1/1995,1.7184,2.769
6/1/1995,1.5826,2.4353
7/1/1995,1.8435,2.7564
8/1/1995,2.1696,3.3159
9/1/1995,1.5586,2.8519
10/1/1995,1.6236,2.8758
11/1/1995,1.5282,2.7904
12/1/1995,1.5049,2.7426
1/1/1996,1.7189,3.0716
2/1/1996,1.8616,3.2542
3/1/1996,2.0126,3.3999
4/1/1996,1.8342,3.2531
5/1/1996,1.8103,3.2588
6/1/1996,1.7133,3.1148
7/1/1996,1.5466,2.9932
8/1/1996,1.7881,3.1586
9/1/1996,1.6117,2.851
10/1/1996,1.6336,2.787
11/1/1996,1.5796,2.6758
12/1/1996,1.383,2.4364
1/1/1997,1.4421,2.503
2/1/1997,1.3571,2.3837
3/1/1997,1.2253,2.2231
4/1/1997,0.363,1.3242
5/1/1997,0.5354,1.6758
6/1/1997,0.4433,1.5421
7/1/1997,0.3191,1.3474
8/1/1997,0.2306,1.1645
9/1/1997,0.1263,0.9972
10/1/1997,-0.3063,0.4375
11/1/1997,-0.1297,0.5881
12/1/1997,-0.0304,0.6833
1/1/1998,0.0018,0.7507
2/1/1998,-0.0484,0.7047
3/1/1998,-0.215,0.4688
4/1/1998,0.0119,0.7094
5/1/1998,-0.1653,0.3972
6/1/1998,-0.1603,0.3573
7/1/1998,0.1788,0.7831
8/1/1998,0.0742,0.5695
9/1/1998,-0.4656,-0.0537
10/1/1998,-0.8051,-0.4834
11/1/1998,-0.8834,-0.5318
12/1/1998,-0.3305,0.3317
1/1/1999,0.1421,1.0866
2/1/1999,0.2088,1.2553
3/1/1999,0.0089,0.844
4/1/1999,0.6466,1.3871
5/1/1999,0.6324,1.3065
6/1/1999,0.9466,1.7783
7/1/1999,0.965,1.8087
8/1/1999,0.9452,1.8978
9/1/1999,1.0774,1.969
10/1/1999,1.1633,2.042
11/1/1999,1.1379,2.0199
12/1/1999,1.3788,2.0002
1/1/2000,1.141,1.9798
2/1/2000,1.2856,2.193
3/1/2000,1.4241,2.2824
4/1/2000,1.3568,2.2219
5/1/2000,1.4222,2.2805
6/1/2000,1.3479,2.1578
7/1/2000,1.2645,2.0364
8/1/2000,1.1828,1.8739
9/1/2000,1.7119,2.4503
10/1/2000,2.0526,2.7547
11/1/2000,2.1328,2.7837
12/1/2000,2.0595,2.4014
1/1/2001,1.4958,2.0618
2/1/2001,1.3022,1.8969
3/1/2001,1.1863,1.7594
4/1/2001,1.4482,2.1239
5/1/2001,1.3452,1.9994
6/1/2001,1.2642,1.8671
