,5YR Real Yield,5.25YR Real Yield
10/1/1980,2.4246,2.426
11/1/1980,1.7764,1.8077
12/1/1980,1.8034,1.8329
1/1/1981,1.0095,1.0229
2/1/1981,0.8781,0.8893
3/1/1981,1.076,1.0795
4/1/1981,1.1468,1.1601
5/1/1981,1.2219,1.2399
6/1/1981,1.1912,1.2071
7/1/1981,2.0453,2.0743
8/1/1981,1.8739,1.9116
9/1/1981,1.7483,1.7824
10/1/1981,2.3136,2.3559
11/1/1981,1.7232,1.743
12/1/1981,1.8524,1.8798
1/1/1982,2.285,2.3114
2/1/1982,2.7987,2.8251
3/1/1982,2.8553,2.8728
4/1/1982,3.3826,3.3993
5/1/1982,3.8068,3.8338
6/1/1982,4.2234,4.2611
7/1/1982,4.5398,4.5731
8/1/1982,4.0482,4.0839
9/1/1982,4.1307,4.1676
10/1/1982,4.2669,4.3105
11/1/1982,4.6032,4.6371
12/1/1982,4.2622,4.282
1/1/1983,4.9163,4.945
2/1/1983,4.9299,4.9528
3/1/1983,4.8126,4.8357
4/1/1983,4.9174,4.9382
5/1/1983,4.9011,4.9232
6/1/1983,5.2704,5.2916
7/1/1983,5.3382,5.36
8/1/1983,5.2514,5.2724
9/1/1983,5.3305,5.3474
10/1/1983,4.7427,4.7764
11/1/1983,4.87,4.9006
12/1/1983,5.0319,5.0576
1/1/1984,4.8625,4.8892
2/1/1984,4.4827,4.5094
3/1/1984,4.3883,4.4099
4/1/1984,4.6508,4.6721
5/1/1984,4.6578,4.6889
6/1/1984,4.9769,5.0052
7/1/1984,4.5174,4.5452
8/1/1984,5.241,5.2633
9/1/1984,5.1786,5.1996
10/1/1984,4.8673,4.8815
11/1/1984,4.545,4.5527
12/1/1984,4.3626,4.3705
1/1/1985,4.2502,4.2554
2/1/1985,4.0786,4.1099
3/1/1985,3.8131,3.8613
4/1/1985,3.2474,3.3064
5/1/1985,3.6791,3.7373
6/1/1985,1.023,1.1902
7/1/1985,2.9184,2.9696
8/1/1985,2.8343,2.8815
9/1/1985,3.1023,3.1366
10/1/1985,3.5363,3.5957
11/1/1985,3.1423,3.2065
12/1/1985,2.8343,2.8955
1/1/1986,3.9831,3.9657
2/1/1986,4.0033,4.0021
3/1/1986,3.3493,3.3419
4/1/1986,2.9411,2.9498
5/1/1986,3.4012,3.421
6/1/1986,0.9524,1.0823
7/1/1986,3.4746,3.4922
8/1/1986,3.226,3.2471
9/1/1986,4.0129,4.0458
10/1/1986,4.2494,4.2819
11/1/1986,3.783,3.8256
12/1/1986,3.9679,4.0076
1/1/1987,4.145,4.1781
2/1/1987,3.8162,3.8417
3/1/1987,3.3778,3.4145
4/1/1987,2.8332,2.8474
5/1/1987,2.4723,2.4675
6/1/1987,2.7176,2.7226
7/1/1987,3.6193,3.6529
8/1/1987,3.7208,3.766
9/1/1987,3.5719,3.6311
10/1/1987,4.1949,4.2619
11/1/1987,3.5776,3.6215
12/1/1987,3.7892,3.838
1/1/1988,3.831,3.8633
2/1/1988,3.7968,3.8272
3/1/1988,3.6309,3.6652
4/1/1988,3.5245,3.5562
5/1/1988,3.7389,3.7787
6/1/1988,3.6444,3.6855
7/1/1988,3.7224,3.7708
8/1/1988,3.5686,3.6214
9/1/1988,3.3956,3.4484
10/1/1988,3.0271,3.0698
11/1/1988,2.8892,2.928
12/1/1988,2.8931,2.9291
1/1/1989,2.9179,2.9616
2/1/1989,3.1461,3.1925
3/1/1989,3.211,3.2638
4/1/1989,2.8461,2.9007
5/1/1989,2.6947,2.7534
6/1/1989,3.1602,3.1948
7/1/1989,2.9316,2.9607
8/1/1989,2.9118,2.9368
9/1/1989,3.0191,3.049
10/1/1989,3.0559,3.0714
11/1/1989,3.419,3.4388
12/1/1989,3.311,3.3314
1/1/1990,3.6762,3.7028
2/1/1990,3.7223,3.7576
3/1/1990,3.9414,3.9878
4/1/1990,4.2284,4.232
5/1/1990,3.8829,3.8772
6/1/1990,3.9187,3.9122
7/1/1990,4.1407,4.143
8/1/1990,4.476,4.4987
9/1/1990,4.9718,4.9933
10/1/1990,4.4497,4.4609
11/1/1990,4.1677,4.1706
12/1/1990,3.7814,3.7705
1/1/1991,3.2318,3.213
2/1/1991,3.1354,3.1123
3/1/1991,3.1932,3.1752
4/1/1991,3.8767,3.862
5/1/1991,3.8892,3.8744
6/1/1991,4.1769,4.1654
7/1/1991,3.987,3.9775
8/1/1991,3.675,3.6581
9/1/1991,3.8942,3.8699
10/1/1991,3.5934,3.5639
11/1/1991,2.6695,2.6569
12/1/1991,2.8531,2.8354
1/1/1992,2.6624,2.6513
2/1/1992,2.8433,2.8357
3/1/1992,2.7238,2.7152
4/1/1992,2.2946,2.3198
5/1/1992,2.5241,2.5494
6/1/1992,2.3184,2.3419
7/1/1992,2.5167,2.5337
8/1/1992,2.0008,2.0248
9/1/1992,2.0525,2.0724
10/1/1992,2.5848,2.6031
11/1/1992,2.507,2.5213
12/1/1992,2.4227,2.4356
1/1/1993,2.8707,2.8867
2/1/1993,1.9831,2.0158
3/1/1993,2.1344,2.1661
4/1/1993,2.1708,2.2096
5/1/1993,2.5836,2.6297
6/1/1993,2.3151,2.3586
7/1/1993,2.0208,2.0574
8/1/1993,1.8898,1.922
9/1/1993,1.3294,1.3808
10/1/1993,1.8035,1.8484
11/1/1993,2.0012,2.0398
12/1/1993,1.5415,1.5672
1/1/1994,1.431,1.4594
2/1/1994,1.5035,1.5386
3/1/1994,2.0209,2.0828
4/1/1994,2.3518,2.4084
5/1/1994,2.1783,2.2286
6/1/1994,2.471,2.5257
7/1/1994,2.354,2.4111
