,5YR INTERPOLATION,5.25 YR
4/1/2000,0.898474359,0.941725641
5/1/2000,0.86344359,0.90635641
6/1/2000,0.889051282,0.929548718
7/1/2000,0.956951282,0.995548718
8/1/2000,1.080323077,1.114876923
9/1/2000,1.151338462,1.188261538
10/1/2000,1.140246154,1.175353846
11/1/2000,1.117528205,1.150071795
12/1/2000,1.295902564,1.312997436
1/1/2001,0.984851282,1.013148718
2/1/2001,0.840533333,0.870266667
3/1/2001,0.622374359,0.651025641
4/1/2001,0.68225641,0.71604359
5/1/2001,0.630546154,0.663253846
6/1/2001,0.598728205,0.628871795
7/1/2001,0.670079487,0.703020513
8/1/2001,0.673861538,0.708438462
9/1/2001,0.690210256,0.725989744
10/1/2001,0.674869231,0.709430769
11/1/2001,0.665307692,0.699092308
12/1/2001,0.681251282,0.714848718
1/1/2002,0.692951282,0.729148718
2/1/2002,0.723625641,0.761574359
3/1/2002,0.709594872,0.746805128
4/1/2002,0.685528205,0.721471795
5/1/2002,0.682428205,0.718071795
6/1/2002,0.667494872,0.701805128
7/1/2002,0.643197436,0.676502564
8/1/2002,0.616982051,0.649317949
9/1/2002,0.570846154,0.600753846
10/1/2002,0.545892308,0.574007692
11/1/2002,0.497682051,0.522917949
12/1/2002,0.476774359,0.501525641
1/1/2003,0.416525641,0.438174359
2/1/2003,0.394535897,0.415164103
3/1/2003,0.370205128,0.388594872
4/1/2003,0.330561538,0.347138462
5/1/2003,0.284566667,0.299133333
6/1/2003,0.274758974,0.288741026
7/1/2003,0.489917949,0.514882051
8/1/2003,0.569187179,0.597912821
9/1/2003,0.731951282,0.768148718
10/1/2003,0.694274359,0.729925641
11/1/2003,0.678920513,0.714379487
12/1/2003,0.660082051,0.694617949
1/1/2004,0.651266667,0.685133333
2/1/2004,0.609205128,0.640994872
3/1/2004,0.668128205,0.702471795
4/1/2004,0.742423077,0.780676923
5/1/2004,0.732007692,0.770192308
6/1/2004,0.869871795,0.914628205
7/1/2004,0.878892308,0.924807692
8/1/2004,0.813825641,0.855974359
9/1/2004,0.74214359,0.78065641
10/1/2004,0.731682051,0.769917949
11/1/2004,0.716869231,0.754530769
