Date,SPY,TLT,FrankZ
8/17/2009,-0.024605417,0.014783243,0.009852163
8/18/2009,0.007934128,-0.005805817,-0.003696321
8/19/2009,0.008779794,0.008281827,0.003262934
8/20/2009,0.010303849,0.008213922,0.003076576
8/21/2009,0.019606033,-0.020576082,-0.012248644
8/24/2009,-9.67917E-05,0.018129383,0.009074371
8/25/2009,0.001942378,0.005656426,0.002633975
8/26/2009,9.69881E-05,0.004583053,0.002281828
8/27/2009,0.002228911,-0.00394103,-0.002193406
8/28/2009,-0.000193252,0.0045803,0.002309475
8/31/2009,-0.008899242,0.0009329,0.001356374
9/1/2009,-0.022057289,-0.002419646,0.000995906
9/2/2009,-0.003792518,0.014573539,0.007666021
9/3/2009,0.008315507,-0.006157011,-0.003910056
9/4/2009,0.014008577,-0.017033499,-0.009917607
9/8/2009,0.008622534,-0.007037479,-0.004380993
9/9/2009,0.007674189,-0.001163841,-0.001349339
9/10/2009,0.010218939,0.018426731,0.008191471
9/11/2009,-0.000191069,0.005511385,0.0027748
9/14/2009,0.004867922,-0.009927934,-0.005450759
9/15/2009,0.004179315,-0.005118591,-0.002977227
9/16/2009,0.015134158,0.001785877,-0.000620477
9/17/2009,-0.001490697,0.012575229,0.006436684
9/18/2009,0.00063768,-0.008900765,-0.00451415
9/21/2009,-0.002530557,0.002297358,0.001401734
9/22/2009,0.005824868,0.002084285,0.000459656
9/23/2009,-0.00831233,0.003015001,0.002338734
9/24/2009,-0.01101884,0.002901706,0.002552737
9/25/2009,-0.005333209,0.012714018,0.00689033
9/28/2009,0.017903234,0.008777767,0.00259856
9/29/2009,-0.003009533,-0.000911429,-0.000154761
9/30/2009,-0.003868124,-0.000911596,-6.90E-05
10/1/2009,-0.024812805,0.013696157,0.009329359
10/2/2009,-0.004661246,-0.006920689,-0.00299422
10/5/2009,0.014927851,0.000100023,-0.001442774
10/6/2009,0.014324763,-0.009896274,-0.006380613
10/7/2009,0.002747981,0.011730044,0.005590224
10/8/2009,0.007656306,-0.010485482,-0.006008372
10/9/2009,0.00609672,-0.02292355,-0.012071447
10/12/2009,0.003916002,0.001564636,0.000390718
10/13/2009,-0.002043578,0.005205443,0.002807079
10/14/2009,0.017216045,-0.014811123,-0.009127166
10/15/2009,0.003659087,-0.00462615,-0.002678984
10/16/2009,-0.007473936,0.008132448,0.004813618
10/19/2009,0.008264939,0.007857865,0.003102438
